school,season,game_id,win,sets_won,total_points,attack_success,attack_attempted,block_success,block_attempted,serve_success,serve_attempted,dig_success,dig_attempted,receive_success,receive_attempted,set_success,set_attempted
DE LA SALLE UNIVERSITY,86,32,1,3,75,39 , 102,12 , 45,6 , 73,28 , 80,21 , 48,16 , 85
ATENEO DE MANILA UNIVERSITY,86,32,0,0,53,30 , 108,5 , 26,2 , 55,20 , 104,22 , 63,9 , 89
NATIONAL UNIVERSITY,86,36,1,3,75,48 , 120,3 , 36,5 , 73,26 , 102,25 , 45,19 , 99
UNIVERSITY OF THE PHILIPPINES,86,36,0,0,50,23 , 120,5 , 46,3 , 52,26 , 106,25 , 64,7 , 100
ATENEO DE MANILA UNIVERSITY,86,28,1,3,107,64 , 193,11 , 67,4 , 108,52 , 154,29 , 90,27 , 175
UNIVERSITY OF THE PHILIPPINES,86,28,0,2,98,47 , 171,14 , 97,4 , 98,49 , 128,47 , 98,20 , 162
NATIONAL UNIVERSITY,86,27,1,3,75,52 , 134,5 , 44,1 , 72,27 , 109,22 , 52,17 , 113
ADAMSON UNIVERSITY,86,27,0,0,57,31 , 129,3 , 43,2 , 59,31 , 117,33 , 61,12 , 106
UNIVERSITY OF STO. TOMAS,86,24,1,3,95,58 , 187,7 , 53,2 , 95,23 , 170,29 , 92,16 , 159
DE LA SALLE UNIVERSITY,86,24,0,2,103,64 , 173,15 , 87,5 , 103,33 , 135,33 , 87,18 , 152
FAR EASTERN UNIVERSITY,86,23,1,3,112,61 , 210,9 , 95,6 , 111,40 , 177,29 , 90,23 , 189
UNIVERSITY OF THE EAST,86,23,0,2,98,53 , 216,4 , 72,5 , 98,36 , 185,28 , 101,17 , 191
NATIONAL UNIVERSITY,86,20,1,3,115,74 , 213,13 , 90,1 , 114,86 , 173,43 , 91,23 , 171
ATENEO DE MANILA UNIVERSITY,86,20,0,2,97,57 , 222,4 , 67,4 , 99,64 , 203,35 , 97,20 , 193
ADAMSON UNIVERSITY,86,19,1,3,78,43 , 166,7 , 58,6 , 75,71 , 130,33 , 67,13 , 147
UNIVERSITY OF THE PHILIPPINES,86,19,0,0,70,37 , 159,8 , 73,2 , 72,60 , 134,31 , 66,14 , 137
UNIVERSITY OF THE EAST,86,15,0,1,83,46 , 157,7 , 67,3 , 84,58 , 144,27 , 77,17 , 138
UNIVERSITY OF STO. TOMAS,86,15,1,3,93,62 , 166,6 , 62,5 , 92,41 , 135,26 , 78,19 , 143
DE LA SALLE UNIVERSITY,86,14,1,3,75,37 , 119,6 , 57,4 , 73,35 , 89,29 , 54,13 , 106
FAR EASTERN UNIVERSITY,86,14,0,0,59,33 , 130,3 , 36,1 , 61,38 , 111,27 , 63,12 , 117
NATIONAL UNIVERSITY,86,10,0,0,64,40 , 131,4 , 60,0 , 65,41 , 105,23 , 66,13 , 121
UNIVERSITY OF STO. TOMAS,86,10,1,3,75,47 , 137,8 , 57,4 , 74,34 , 107,24 , 58,22 , 125
FAR EASTERN UNIVERSITY,86,9,1,3,75,46 , 110,8 , 56,2 , 74,32 , 93,12 , 56,14 , 93
UNIVERSITY OF THE PHILIPPINES,86,9,0,0,62,37 , 129,7 , 37,3 , 63,31 , 104,16 , 68,13 , 109
ADAMSON UNIVERSITY,86,4,0,0,50,30 , 130,2 , 34,1 , 52,33 , 108,30 , 63,5 , 112
DE LA SALLE UNIVERSITY,86,4,1,3,75,43 , 115,10 , 41,2 , 73,37 , 102,23 , 47,16 , 95
ATENEO DE MANILA UNIVERSITY,86,3,0,1,84,44 , 171,6 , 54,3 , 82,56 , 142,13 , 85,13 , 152
UNIVERSITY OF THE EAST,86,3,1,3,95,52 , 173,6 , 67,5 , 94,58 , 133,29 , 74,17 , 142
