school,season,game_id,win,sets_won,total_points,attack_success,attack_attempted,block_success,block_attempted,serve_success,serve_attempted,dig_success,dig_attempted,receive_success,receive_attempted,set_success,set_attempted
UNIVERSITY OF THE PHILIPPINES,87,79,1,3,75,42 , 138,7 , 54,5 , 73,36 , 108,22 , 53,15 , 121
DE LA SALLE UNIVERSITY,87,76,1,3,105,63 , 187,10 , 70,7 , 105,41 , 153,49 , 93,35 , 162
UNIVERSITY OF STO. TOMAS,87,76,0,2,103,55 , 175,9 , 62,0 , 102,58 , 164,42 , 89,31 , 150
ATENEO DE MANILA UNIVERSITY,87,75,1,3,75,40 , 120,2 , 35,12 , 73,41 , 103,25 , 56,21 , 96
ADAMSON UNIVERSITY,87,75,0,0,60,33 , 117,5 , 54,5 , 62,21 , 93,26 , 63,19 , 103
UNIVERSITY OF THE EAST,87,72,0,0,63,32 , 159,6 , 55,1 , 63,51 , 147,26 , 65,8 , 124
FAR EASTERN UNIVERSITY,87,72,1,3,75,50 , 163,4 , 55,4 , 74,76 , 143,26 , 59,22 , 145
UNIVERSITY OF THE PHILIPPINES,87,70,1,3,106,68 , 185,8 , 65,4 , 105,53 , 159,43 , 99,23 , 167
NATIONAL UNIVERSITY,87,70,0,2,109,64 , 188,8 , 61,10 , 110,59 , 167,38 , 93,29 , 157
NATIONAL UNIVERSITY,87,68,1,3,97,52 , 135,10 , 52,5 , 96,52 , 122,33 , 67,23 , 127
DE LA SALLE UNIVERSITY,87,68,0,1,82,46 , 137,8 , 60,3 , 83,40 , 108,49 , 83,20 , 122
FAR EASTERN UNIVERSITY,87,67,1,3,94,54 , 184,11 , 92,4 , 93,60 , 138,34 , 88,25 , 159
UNIVERSITY OF STO. TOMAS,87,67,0,1,95,57 , 191,9 , 71,3 , 96,74 , 160,35 , 84,23 , 171
UNIVERSITY OF THE PHILIPPINES,87,64,0,2,119,69 , 253,14 , 105,7 , 119,58 , 213,31 , 106,23 , 217
ATENEO DE MANILA UNIVERSITY,87,64,1,3,113,74 , 268,7 , 71,2 , 113,54 , 252,40 , 114,27 , 230
ADAMSON UNIVERSITY,87,63,1,3,75,40 , 139,9 , 58,7 , 73,36 , 111,14 , 51,17 , 118
UNIVERSITY OF THE EAST,87,63,0,0,52,28 , 147,9 , 53,3 , 54,43 , 132,28 , 69,7 , 126
NATIONAL UNIVERSITY,87,60,1,3,107,71 , 195,6 , 75,8 , 106,66 , 144,47 , 87,35 , 167
UNIVERSITY OF STO. TOMAS,87,60,0,2,94,44 , 176,10 , 70,4 , 95,69 , 179,43 , 90,27 , 143
ADAMSON UNIVERSITY,87,59,0,2,98,63 , 190,9 , 60,4 , 99,58 , 155,53 , 94,31 , 168
UNIVERSITY OF THE PHILIPPINES,87,59,1,3,104,65 , 176,8 , 79,4 , 103,55 , 133,43 , 92,28 , 161
FAR EASTERN UNIVERSITY,87,56,0,0,59,35 , 113,4 , 44,4 , 60,31 , 97,21 , 67,14 , 96
DE LA SALLE UNIVERSITY,87,56,1,3,75,41 , 110,8 , 46,6 , 74,32 , 92,18 , 53,20 , 99
ATENEO DE MANILA UNIVERSITY,87,55,1,3,107,65 , 237,9 , 80,6 , 106,69 , 197,41 , 92,32 , 216
UNIVERSITY OF THE EAST,87,55,0,2,94,48 , 219,13 , 89,6 , 95,64 , 190,34 , 98,16 , 190
ATENEO DE MANILA UNIVERSITY,87,52,0,1,73,37 , 137,2 , 36,8 , 74,36 , 125,25 , 84,12 , 122
DE LA SALLE UNIVERSITY,87,52,1,3,95,48 , 130,12 , 59,5 , 93,38 , 110,24 , 62,21 , 112
NATIONAL UNIVERSITY,87,51,1,3,75,44 , 129,8 , 54,7 , 73,36 , 104,25 , 56,17 , 110
ADAMSON UNIVERSITY,87,51,0,0,62,29 , 127,9 , 60,1 , 64,34 , 93,24 , 62,11 , 107
UNIVERSITY OF STO. TOMAS,87,48,1,3,75,46 , 111,11 , 46,3 , 73,23 , 92,17 , 59,17 , 92
ATENEO DE MANILA UNIVERSITY,87,48,0,0,64,33 , 114,2 , 40,9 , 66,15 , 96,20 , 65,11 , 102
UNIVERSITY OF THE PHILIPPINES,87,47,0,0,58,38 , 130,3 , 48,2 , 59,29 , 104,21 , 66,8 , 110
NATIONAL UNIVERSITY,87,47,1,3,75,46 , 120,8 , 47,5 , 74,21 , 100,16 , 53,13 , 102
ADAMSON UNIVERSITY,87,44,0,1,63,44 , 152,1 , 57,3 , 64,45 , 124,38 , 87,19 , 125
FAR EASTERN UNIVERSITY,87,44,1,3,98,44 , 137,12 , 45,10 , 97,45 , 122,34 , 56,16 , 116
DE LA SALLE UNIVERSITY,87,43,1,3,98,52 , 163,15 , 60,7 , 97,60 , 138,27 , 63,24 , 143
UNIVERSITY OF THE EAST,87,43,0,1,68,33 , 177,6 , 53,4 , 69,57 , 169,26 , 87,12 , 142
UNIVERSITY OF THE PHILIPPINES,87,40,0,1,71,38 , 170,6 , 70,4 , 72,27 , 153,32 , 87,14 , 142
UNIVERSITY OF STO. TOMAS,87,40,1,3,98,64 , 176,6 , 58,8 , 96,45 , 141,23 , 66,23 , 151
UNIVERSITY OF THE EAST,87,39,0,0,62,38 , 124,5 , 48,2 , 63,28 , 114,11 , 65,7 , 113
FAR EASTERN UNIVERSITY,87,39,1,3,75,42 , 133,6 , 43,7 , 74,22 , 108,19 , 59,13 , 114
FAR EASTERN UNIVERSITY,87,36,1,3,109,52 , 173,20 , 92,5 , 109,40 , 139,24 , 77,17 , 135
ATENEO DE MANILA UNIVERSITY,87,36,0,2,94,61 , 209,2 , 60,5 , 94,42 , 178,28 , 100,24 , 185
DE LA SALLE UNIVERSITY,87,35,1,3,99,57 , 169,13 , 65,9 , 98,40 , 130,26 , 73,17 , 152
UNIVERSITY OF THE PHILIPPINES,87,35,0,1,83,47 , 170,7 , 60,6 , 84,35 , 144,30 , 91,11 , 152
NATIONAL UNIVERSITY,87,32,1,3,75,45 , 114,6 , 35,3 , 74,42 , 96,14 , 38,19 , 93
UNIVERSITY OF THE EAST,87,32,0,0,43,16 , 119,4 , 35,5 , 44,20 , 103,24 , 64,6 , 101
UNIVERSITY OF STO. TOMAS,87,31,1,3,97,54 , 172,8 , 47,4 , 96,32 , 138,27 , 80,22 , 144
ADAMSON UNIVERSITY,87,31,0,1,84,47 , 163,5 , 78,3 , 85,45 , 131,31 , 86,24 , 139
DE LA SALLE UNIVERSITY,87,28,0,2,98,52 , 187,9 , 81,10 , 99,48 , 156,43 , 87,22 , 168
UNIVERSITY OF STO. TOMAS,87,28,1,3,100,59 , 199,9 , 55,2 , 99,62 , 185,25 , 89,26 , 165
ADAMSON UNIVERSITY,87,27,1,3,75,41 , 103,9 , 55,5 , 74,37 , 90,10 , 38,19 , 89
UNIVERSITY OF THE EAST,87,27,0,0,47,27 , 121,5 , 34,1 , 48,22 , 106,24 , 68,5 , 101
